year,sport,event,event_gender,noc,country,medal,award_count
1896,Athletics,100m men,Men,GER,Germany,SILVER,1
1896,Athletics,100m men,Men,HUN,Hungary,BRONZE,1
1896,Athletics,100m men,Men,USA,United States of America,BRONZE,1
1896,Athletics,100m men,Men,USA,United States of America,GOLD,1
1896,Athletics,110m hurdles men,Men,GBR,Great Britain,SILVER,1
1896,Athletics,110m hurdles men,Men,USA,United States of America,GOLD,1
1896,Athletics,1500m men,Men,AUS,Australia,GOLD,1
1896,Athletics,1500m men,Men,FRA,France,BRONZE,1
1896,Athletics,1500m men,Men,USA,United States of America,SILVER,1
1896,Athletics,400m men,Men,GBR,Great Britain,BRONZE,1
1896,Athletics,400m men,Men,USA,United States of America,GOLD,1
1896,Athletics,400m men,Men,USA,United States of America,SILVER,1
1896,Athletics,800m men,Men,AUS,Australia,GOLD,1
1896,Athletics,800m men,Men,GRE,Greece,BRONZE,1
1896,Athletics,800m men,Men,HUN,Hungary,SILVER,1
1896,Athletics,discus throw men,Men,GRE,Greece,BRONZE,1
1896,Athletics,discus throw men,Men,GRE,Greece,SILVER,1
1896,Athletics,discus throw men,Men,USA,United States of America,GOLD,1
1896,Athletics,high jump men,Men,USA,United States of America,GOLD,1
1896,Athletics,high jump men,Men,USA,United States of America,SILVER,1
1896,Athletics,long jump men,Men,USA,United States of America,BRONZE,1
1896,Athletics,long jump men,Men,USA,United States of America,GOLD,1
1896,Athletics,long jump men,Men,USA,United States of America,SILVER,1
1896,Athletics,marathon men,Men,GRE,Greece,GOLD,1
1896,Athletics,marathon men,Men,GRE,Greece,SILVER,1
1896,Athletics,marathon men,Men,HUN,Hungary,BRONZE,1
1896,Athletics,pole vault men,Men,GRE,Greece,BRONZE,1
1896,Athletics,pole vault men,Men,USA,United States of America,GOLD,1
1896,Athletics,pole vault men,Men,USA,United States of America,SILVER,1
1896,Athletics,shot put men,Men,GRE,Greece,BRONZE,1
1896,Athletics,shot put men,Men,GRE,Greece,SILVER,1
1896,Athletics,shot put men,Men,USA,United States of America,GOLD,1
1896,Athletics,triple jump men,Men,FRA,France,SILVER,1
1896,Athletics,triple jump men,Men,GRE,Greece,BRONZE,1
1896,Athletics,triple jump men,Men,USA,United States of America,GOLD,1
1896,Cycling Road,individual road race men,Men,GBR,Great Britain,BRONZE,1
1896,Cycling Road,individual road race men,Men,GER,Germany,SILVER,1
1896,Cycling Road,individual road race men,Men,GRE,Greece,GOLD,1
1896,Cycling Track,100km men,Men,FRA,France,GOLD,1
1896,Cycling Track,100km men,Men,GRE,Greece,SILVER,1
1896,Cycling Track,10km men,Men,AUT,Austria,BRONZE,1
1896,Cycling Track,10km men,Men,FRA,France,GOLD,1
1896,Cycling Track,10km men,Men,FRA,France,SILVER,1
1896,Cycling Track,12-hour race men,Men,AUT,Austria,GOLD,1
1896,Cycling Track,12-hour race men,Men,GBR,Great Britain,SILVER,1
1896,Cycling Track,1km time trial men,Men,AUT,Austria,BRONZE,1
1896,Cycling Track,1km time trial men,Men,FRA,France,GOLD,1
1896,Cycling Track,1km time trial men,Men,GRE,Greece,SILVER,1
1896,Cycling Track,Sprint individual men,Men,FRA,France,BRONZE,1
1896,Cycling Track,Sprint individual men,Men,FRA,France,GOLD,1
1896,Cycling Track,Sprint individual men,Men,GRE,Greece,SILVER,1
1896,Fencing,foil individual men,Men,FRA,France,GOLD,1
1896,Fencing,foil individual men,Men,FRA,France,SILVER,1
1896,Fencing,foil individual men,Men,GRE,Greece,BRONZE,1
