year,games_slug,sport,event,event_gender,participant_type,participant_title,athlete,athlete_url,country,country_code,noc,medal,gold,silver,bronze
2022,beijing-2022,Curling,Mixed Doubles,Mixed,GameTeam,Italy,Stefania CONSTANTINI,https://olympics.com/en/athletes/stefania-constantini,Italy,IT,ITA,GOLD,1,0,0
2022,beijing-2022,Curling,Mixed Doubles,Mixed,GameTeam,Italy,Amos MOSANER,https://olympics.com/en/athletes/amos-mosaner,Italy,IT,ITA,GOLD,1,0,0
2022,beijing-2022,Curling,Mixed Doubles,Mixed,GameTeam,Norway,Kristin SKASLIEN,https://olympics.com/en/athletes/kristin-skaslien,Norway,NO,NOR,SILVER,0,1,0
2022,beijing-2022,Curling,Mixed Doubles,Mixed,GameTeam,Norway,Magnus NEDREGOTTEN,https://olympics.com/en/athletes/magnus-nedregotten,Norway,NO,NOR,SILVER,0,1,0
2022,beijing-2022,Curling,Mixed Doubles,Mixed,GameTeam,Sweden,Almida DE VAL,https://olympics.com/en/athletes/almida-de-val,Sweden,SE,SWE,BRONZE,0,0,1
2022,beijing-2022,Curling,Mixed Doubles,Mixed,GameTeam,Sweden,Oskar ERIKSSON,https://olympics.com/en/athletes/oskar-eriksson,Sweden,SE,SWE,BRONZE,0,0,1
2022,beijing-2022,Curling,Women,Women,GameTeam,Great Britain,nan,,Great Britain,GB,GBR,GOLD,1,0,0
2022,beijing-2022,Curling,Women,Women,GameTeam,Japan,nan,,Japan,JP,JPN,SILVER,0,1,0
2022,beijing-2022,Curling,Women,Women,GameTeam,Sweden,nan,,Sweden,SE,SWE,BRONZE,0,0,1
2022,beijing-2022,Curling,Men,Men,GameTeam,Sweden,nan,,Sweden,SE,SWE,GOLD,1,0,0
2022,beijing-2022,Curling,Men,Men,GameTeam,Great Britain,nan,,Great Britain,GB,GBR,SILVER,0,1,0
2022,beijing-2022,Curling,Men,Men,GameTeam,Canada,nan,,Canada,CA,CAN,BRONZE,0,0,1
2022,beijing-2022,Freestyle Skiing,Men's Moguls,Men,Athlete,nan,Mikael KINGSBURY,https://olympics.com/en/athletes/mikael-kingsbury,Canada,CA,CAN,SILVER,0,1,0
2022,beijing-2022,Freestyle Skiing,Men's Moguls,Men,Athlete,nan,Walter WALLBERG,https://olympics.com/en/athletes/wallberg,Sweden,SE,SWE,GOLD,1,0,0
2022,beijing-2022,Freestyle Skiing,Men's Moguls,Men,Athlete,nan,Ikuma HORISHIMA,https://olympics.com/en/athletes/ikuma-horishima,Japan,JP,JPN,BRONZE,0,0,1
2022,beijing-2022,Freestyle Skiing,Men's Freeski Halfpipe,Men,Athlete,nan,Nico PORTEOUS,https://olympics.com/en/athletes/nico-porteous,New Zealand,NZ,NZL,GOLD,1,0,0
2022,beijing-2022,Freestyle Skiing,Men's Freeski Halfpipe,Men,Athlete,nan,David WISE,https://olympics.com/en/athletes/david-wise,United States of America,US,USA,SILVER,0,1,0
2022,beijing-2022,Freestyle Skiing,Men's Freeski Halfpipe,Men,Athlete,nan,Alex FERREIRA,https://olympics.com/en/athletes/alex-ferreira,United States of America,US,USA,BRONZE,0,0,1
2022,beijing-2022,Freestyle Skiing,Men's Freeski Big Air,Men,Athlete,nan,Henrik HARLAUT,https://olympics.com/en/athletes/henrik-harlaut,Sweden,SE,SWE,BRONZE,0,0,1
2022,beijing-2022,Freestyle Skiing,Men's Freeski Big Air,Men,Athlete,nan,Birk RUUD,https://olympics.com/en/athletes/birk-ruud,Norway,NO,NOR,GOLD,1,0,0
2022,beijing-2022,Freestyle Skiing,Men's Freeski Big Air,Men,Athlete,nan,Colby STEVENSON,https://olympics.com/en/athletes/colby-stevenson,United States of America,US,USA,SILVER,0,1,0
2022,beijing-2022,Freestyle Skiing,Men's Ski Cross,Men,Athlete,nan,Sergey RIDZIK,https://olympics.com/en/athletes/sergey-ridzik-1,ROC,ROC,ROC,BRONZE,0,0,1
2022,beijing-2022,Freestyle Skiing,Men's Ski Cross,Men,Athlete,nan,Alex FIVA,https://olympics.com/en/athletes/alex-fiva,Switzerland,CH,SUI,SILVER,0,1,0
2022,beijing-2022,Freestyle Skiing,Men's Ski Cross,Men,Athlete,nan,Ryan REGEZ,https://olympics.com/en/athletes/ryan-regez,Switzerland,CH,SUI,GOLD,1,0,0
2022,beijing-2022,Freestyle Skiing,Women's Freeski Big Air,Women,Athlete,nan,Mathilde GREMAUD,https://olympics.com/en/athletes/mathilde-gremaud,Switzerland,CH,SUI,BRONZE,0,0,1
2022,beijing-2022,Freestyle Skiing,Women's Freeski Big Air,Women,Athlete,nan,Ailing Eileen GU,https://olympics.com/en/athletes/gu-ailing-eileen,People's Republic of China,CN,CHN,GOLD,1,0,0
2022,beijing-2022,Freestyle Skiing,Women's Freeski Big Air,Women,Athlete,nan,Tess LEDEUX,https://olympics.com/en/athletes/tess-ledeux,France,FR,FRA,SILVER,0,1,0
2022,beijing-2022,Freestyle Skiing,Women's Moguls,Women,Athlete,nan,Jaelin KAUF,https://olympics.com/en/athletes/kauf,United States of America,US,USA,SILVER,0,1,0
2022,beijing-2022,Freestyle Skiing,Women's Moguls,Women,Athlete,nan,Jakara ANTHONY,https://olympics.com/en/athletes/anthony,Australia,AU,AUS,GOLD,1,0,0
2022,beijing-2022,Freestyle Skiing,Women's Moguls,Women,Athlete,nan,Anastasiia SMIRNOVA,https://olympics.com/en/athletes/anastasiia-smirnova,ROC,ROC,ROC,BRONZE,0,0,1
2022,beijing-2022,Freestyle Skiing,Mixed Team Aerials,Mixed,GameTeam,United States,nan,,United States of America,US,USA,GOLD,1,0,0
2022,beijing-2022,Freestyle Skiing,Mixed Team Aerials,Mixed,GameTeam,China,nan,,People's Republic of China,CN,CHN,SILVER,0,1,0
2022,beijing-2022,Freestyle Skiing,Mixed Team Aerials,Mixed,GameTeam,Canada,nan,,Canada,CA,CAN,BRONZE,0,0,1
2022,beijing-2022,Freestyle Skiing,Women's Ski Cross,Women,Athlete,nan,Marielle THOMPSON,https://olympics.com/en/athletes/marielle-thompson,Canada,CA,CAN,SILVER,0,1,0
2022,beijing-2022,Freestyle Skiing,Women's Ski Cross,Women,Athlete,nan,Sandra NAESLUND,https://olympics.com/en/athletes/sandra-naeslund,Sweden,SE,SWE,GOLD,1,0,0
2022,beijing-2022,Freestyle Skiing,Women's Ski Cross,Women,Athlete,nan,Daniela MAIER,https://olympics.com/en/athletes/daniela-maier,Germany,DE,GER,BRONZE,0,0,1
2022,beijing-2022,Freestyle Skiing,Men's Aerials,Men,Athlete,nan,Ilia BUROV,https://olympics.com/en/athletes/ilia-burov,ROC,ROC,ROC,BRONZE,0,0,1
2022,beijing-2022,Freestyle Skiing,Men's Aerials,Men,Athlete,nan,Guangpu QI,https://olympics.com/en/athletes/guangpu-qi,People's Republic of China,CN,CHN,GOLD,1,0,0
2022,beijing-2022,Freestyle Skiing,Men's Aerials,Men,Athlete,nan,Oleksandr ABRAMENKO,https://olympics.com/en/athletes/oleksandr-abramenko,Ukraine,UA,UKR,SILVER,0,1,0
2022,beijing-2022,Freestyle Skiing,Women's Aerials,Women,Athlete,nan,Hanna HUSKOVA,https://olympics.com/en/athletes/hanna-huskova,Belarus,BY,BLR,SILVER,0,1,0
2022,beijing-2022,Freestyle Skiing,Women's Aerials,Women,Athlete,nan,Mengtao XU,https://olympics.com/en/athletes/mengtao-xu,People's Republic of China,CN,CHN,GOLD,1,0,0
2022,beijing-2022,Freestyle Skiing,Women's Aerials,Women,Athlete,nan,Megan NICK,https://olympics.com/en/athletes/megan-nick,United States of America,US,USA,BRONZE,0,0,1
2022,beijing-2022,Freestyle Skiing,Women's Freeski Halfpipe,Women,Athlete,nan,Cassie SHARPE,https://olympics.com/en/athletes/cassie-sharpe,Canada,CA,CAN,SILVER,0,1,0
2022,beijing-2022,Freestyle Skiing,Women's Freeski Halfpipe,Women,Athlete,nan,Ailing Eileen GU,https://olympics.com/en/athletes/gu-ailing-eileen,People's Republic of China,CN,CHN,GOLD,1,0,0
2022,beijing-2022,Freestyle Skiing,Women's Freeski Halfpipe,Women,Athlete,nan,Rachel KARKER,https://olympics.com/en/athletes/rachel-karker,Canada,CA,CAN,BRONZE,0,0,1
2022,beijing-2022,Freestyle Skiing,Women's Freeski Slopestyle,Women,Athlete,nan,Ailing Eileen GU,https://olympics.com/en/athletes/gu-ailing-eileen,People's Republic of China,CN,CHN,SILVER,0,1,0
2022,beijing-2022,Freestyle Skiing,Women's Freeski Slopestyle,Women,Athlete,nan,Mathilde GREMAUD,https://olympics.com/en/athletes/mathilde-gremaud,Switzerland,CH,SUI,GOLD,1,0,0
2022,beijing-2022,Freestyle Skiing,Women's Freeski Slopestyle,Women,Athlete,nan,Kelly SILDARU,https://olympics.com/en/athletes/kelly-sildaru,Estonia,EE,EST,BRONZE,0,0,1
2022,beijing-2022,Freestyle Skiing,Men's Freeski Slopestyle,Men,Athlete,nan,Nicholas GOEPPER,https://olympics.com/en/athletes/nicholas-goepper,United States of America,US,USA,SILVER,0,1,0
2022,beijing-2022,Freestyle Skiing,Men's Freeski Slopestyle,Men,Athlete,nan,Jesper TJADER,https://olympics.com/en/athletes/jesper-tjader,Sweden,SE,SWE,BRONZE,0,0,1
2022,beijing-2022,Freestyle Skiing,Men's Freeski Slopestyle,Men,Athlete,nan,Alexander HALL,https://olympics.com/en/athletes/alexander-hall-1,United States of America,US,USA,GOLD,1,0,0
2022,beijing-2022,Short Track Speed Skating,Women's 500m,Women,Athlete,nan,Suzanne SCHULTING,https://olympics.com/en/athletes/suzanne-schulting,Netherlands,NL,NED,SILVER,0,1,0
2022,beijing-2022,Short Track Speed Skating,Women's 500m,Women,Athlete,nan,Kim BOUTIN,https://olympics.com/en/athletes/boutin,Canada,CA,CAN,BRONZE,0,0,1
2022,beijing-2022,Short Track Speed Skating,Women's 500m,Women,Athlete,nan,Arianna FONTANA,https://olympics.com/en/athletes/arianna-fontana,Italy,IT,ITA,GOLD,1,0,0
2022,beijing-2022,Short Track Speed Skating,Men's 500m,Men,Athlete,nan,Steven DUBOIS,https://olympics.com/en/athletes/steven-dubois,Canada,CA,CAN,BRONZE,0,0,1
2022,beijing-2022,Short Track Speed Skating,Men's 500m,Men,Athlete,nan,Shaoang LIU,https://olympics.com/en/athletes/shaoang-liu,Hungary,HU,HUN,GOLD,1,0,0
2022,beijing-2022,Short Track Speed Skating,Men's 500m,Men,Athlete,nan,Konstantin IVLIEV,https://olympics.com/en/athletes/konstantin-ivliev,ROC,ROC,ROC,SILVER,0,1,0
2022,beijing-2022,Short Track Speed Skating,Men's 5000m Relay,Men,GameTeam,Canada,nan,,Canada,CA,CAN,GOLD,1,0,0
2022,beijing-2022,Short Track Speed Skating,Men's 5000m Relay,Men,GameTeam,Republic of Korea,nan,,Republic of Korea,KR,KOR,SILVER,0,1,0
2022,beijing-2022,Short Track Speed Skating,Men's 5000m Relay,Men,GameTeam,Italy,nan,,Italy,IT,ITA,BRONZE,0,0,1
2022,beijing-2022,Short Track Speed Skating,Team Relay,Mixed,GameTeam,People's Republic of China,nan,,People's Republic of China,CN,CHN,GOLD,1,0,0
2022,beijing-2022,Short Track Speed Skating,Team Relay,Mixed,GameTeam,Italy,nan,,Italy,IT,ITA,SILVER,0,1,0
2022,beijing-2022,Short Track Speed Skating,Team Relay,Mixed,GameTeam,Hungary,nan,,Hungary,HU,HUN,BRONZE,0,0,1
2022,beijing-2022,Short Track Speed Skating,Men's 1500m,Men,Athlete,nan,Semen ELISTRATOV,https://olympics.com/en/athletes/semen-elistratov,ROC,ROC,ROC,BRONZE,0,0,1
2022,beijing-2022,Short Track Speed Skating,Men's 1500m,Men,Athlete,nan,Daeheon HWANG,https://olympics.com/en/athletes/daeheon-hwang,Republic of Korea,KR,KOR,GOLD,1,0,0
2022,beijing-2022,Short Track Speed Skating,Men's 1500m,Men,Athlete,nan,Steven DUBOIS,https://olympics.com/en/athletes/steven-dubois,Canada,CA,CAN,SILVER,0,1,0
2022,beijing-2022,Short Track Speed Skating,Men's 1000m,Men,Athlete,nan,Ziwei REN,https://olympics.com/en/athletes/ren,People's Republic of China,CN,CHN,GOLD,1,0,0
